1,0,-3598,11208,-7883,7083,23960,-31213
2,66,-3901,11297,-7805,6439,24428,-31048
3,132,-4112,11510,-7658,5752,24903,-30694
4,198,-4378,11585,-7489,5141,25328,-30469
5,264,-4643,11723,-7430,4379,25696,-30223
6,330,-4945,11827,-7226,3665,26070,-29943
7,396,-5179,11942,-7103,3031,26594,-29663
8,462,-5435,12110,-6917,2359,26925,-29406
9,528,-5778,12191,-6779,1698,27349,-29125
10,594,-5987,12321,-6674,1023,27659,-28750
11,660,-6344,12374,-6439,382,28048,-28536
12,726,-6554,12489,-6262,-262,28217,-28077
13,792,-6776,12561,-6081,-910,28399,-27790
14,858,-7089,12661,-5896,-1534,28903,-27351
15,924,-7352,12775,-5619,-2209,29102,-27083
16,990,-7614,12765,-5522,-2815,29411,-26519
17,1056,-7865,12777,-5291,-3417,29738,-26264
18,1122,-8192,12853,-5082,-4146,29922,-25858
19,1188,-8429,12900,-4926,-4934,30252,-25465
20,1254,-8754,12975,-4624,-5532,30452,-25024
21,1320,-8974,13045,-4364,-6306,30696,-24631
22,1386,-9192,12998,-4156,-6946,31038,-24095
23,1452,-9536,13067,-3880,-7529,31230,-23665
24,1518,-9675,13158,-3653,-8316,31451,-23195
25,1584,-10062,13155,-3391,-8892,31638,-22653
26,1650,-10320,13130,-3124,-9619,31654,-22156
27,1716,-10545,13108,-2888,-10188,31720,-21705
28,1782,-10858,13038,-2638,-10955,31817,-21159
29,1848,-11160,13106,-2335,-11555,31920,-20736
30,1914,-11407,13109,-2121,-12239,31993,-20162
31,1980,-11709,13073,-1779,-12810,32161,-19599
32,2046,-11894,13041,-1491,-13359,32154,-19013
33,2112,-12092,12977,-1185,-14032,32037,-18534
34,2178,-12341,12976,-911,-14481,32266,-17846
35,2244,-12644,12892,-580,-15043,32152,-17263
36,2310,-12906,12829,-278,-15636,32241,-16646
37,2376,-13145,12662,19,-16134,32371,-16001
38,2442,-13370,12674,345,-16776,32240,-15498
39,2508,-13565,12585,542,-17381,32444,-14757
40,2574,-13814,12517,977,-17910,32276,-14215
41,2640,-13945,12412,1388,-18477,32202,-13580
42,2706,-14208,12253,1586,-18890,32135,-12972
43,2772,-14429,12091,2024,-19521,32123,-12307
44,2838,-14693,12018,2242,-20015,32002,-11759
45,2904,-14871,11915,2608,-20720,31809,-11189
46,2970,-15090,11760,2922,-21232,31769,-10625
47,3036,-15249,11640,3291,-21638,31639,-9989
48,3102,-15380,11606,3653,-22303,31448,-9320
49,3168,-15630,11252,4090,-22694,31410,-8654
50,3234,-15789,11085,4362,-23173,30927,-7915
51,3300,-15956,10852,4748,-23631,30794,-7469
52,3366,-16122,10754,5019,-24190,30537,-6628
53,3432,-16332,10541,5417,-24623,30400,-5997
54,3498,-16448,10409,5887,-25000,30089,-5361
55,3564,-16569,10263,6131,-25449,29807,-4726
56,3630,-16887,10085,6509,-25915,29642,-4049
57,3696,-16959,9751,6904,-26361,29525,-3327
58,3762,-17112,9540,7219,-26652,29059,-2736
59,3828,-17122,9345,7500,-27029,28922,-1929
60,3894,-17291,9036,7949,-27406,28693,-1222
61,3960,-17390,8752,8244,-27772,28400,-591
62,4026,-17513,8543,8648,-28085,27988,-80
63,4092,-17492,8191,8865,-28382,27658,826
64,4158,-17683,7934,9310,-28565,27230,1485
65,4224,-17672,7673,9776,-28847,26873,2306
66,4290,-17776,7340,10043,-29102,26498,2880
67,4356,-17842,7126,10435,-29456,26038,3746
68,4422,-17970,6755,10801,-29645,25674,4250
69,4488,-17986,6519,11179,-30137,25089,4965
70,4554,-18059,6205,11489,-30190,24842,5627
71,4620,-18045,5878,11842,-30381,24366,6177
72,4686,-18048,5666,12196,-30621,24031,6751
73,4752,-18099,5234,12560,-30870,23436,7720
74,4818,-18054,4766,12901,-31070,23110,8229
75,4884,-18125,4499,13248,-31242,22524,8721
76,4950,-18056,4208,13447,-31554,22005,9456
77,5016,-18086,3786,13914,-31649,21486,10013
78,5082,-18016,3457,14311,-31730,20991,10683
79,5148,-17886,3064,14556,-31718,20261,11287
80,5214,-17849,2717,14885,-31759,19937,11899
81,5280,-17794,2350,15181,-31942,19281,12526
82,5346,-17775,1943,15537,-32156,18744,13101
83,5412,-17702,1524,15815,-32187,18148,13721
84,5478,-17605,1149,16163,-32207,17435,14351
85,5544,-17446,642,16411,-32252,17055,14936
86,5610,-17418,340,16706,-32162,16478,15466
87,5676,-17295,-11,16990,-32202,15948,16092
88,5742,-17158,-475,17328,-32065,15352,16824
89,5808,-16999,-882,17624,-32053,14695,17335
90,5874,-16859,-1318,17865,-32020,14221,17949
91,5940,-16722,-1742,18165,-31825,13627,18570
92,6006,-16538,-2109,18453,-31964,13099,19034
93,6072,-16399,-2604,18733,-31890,12562,19655
94,6138,-16246,-2982,18952,-31783,11784,20292
95,6204,-15950,-3542,19091,-31677,11107,20741
96,6270,-15835,-3953,19388,-31507,10415,21245
97,6336,-15523,-4351,19593,-31470,9839,21620
98,6402,-15395,-4790,19814,-31355,9256,22263
99,6468,-15180,-5229,20076,-31317,8579,22688
100,6534,-14960,-5660,20322,-31019,7938,23167
101,6600,-14671,-6096,20484,-30859,7243,23735
102,6666,-14402,-6541,20787,-30623,6538,24067
103,6732,-14093,-7003,20778,-30474,5912,24548
104,6798,-13795,-7415,21005,-30196,5242,25021
105,6864,-13584,-7882,21207,-29855,4539,25455
106,6930,-13271,-8342,21355,-29745,3771,25949
107,6996,-13023,-8841,21519,-29313,3176,26233
108,7062,-12690,-9261,21620,-29025,2467,26622
109,7128,-12361,-9673,21764,-28775,1823,26975
110,7194,-12016,-10201,21839,-28424,1231,27333
111,7260,-11658,-10490,22017,-28119,597,27556
112,7326,-11393,-11008,22077,-27836,-92,28008
113,7392,-10997,-11461,22208,-27578,-689,28281
114,7458,-10658,-11900,22280,-27188,-1362,28577
115,7524,-10292,-12334,22375,-26905,-2014,28991
116,7590,-9911,-12809,22405,-26486,-2812,29283
117,7656,-9452,-13202,22446,-26021,-3401,29461
118,7722,-9059,-13654,22438,-25573,-4097,29725
119,7788,-8722,-14118,22477,-25169,-4733,29989
120,7854,-8331,-14544,22530,-24661,-5417,30272
121,7920,-7899,-14969,22562,-24311,-6165,30497
122,7986,-7543,-15437,22552,-23839,-6810,30743
123,8052,-7067,-15800,22532,-23365,-7526,30936
124,8118,-6596,-16208,22556,-22939,-8186,31150
125,8184,-6169,-16616,22448,-22459,-8770,31321
126,8250,-5689,-16991,22442,-21988,-9415,31465
127,8316,-5278,-17358,22343,-21526,-10090,31623
128,8382,-4793,-17779,22282,-21146,-10742,31794
129,8448,-4350,-18193,22257,-20623,-11379,31943
130,8514,-3844,-18612,22145,-20023,-11966,32139
131,8580,-3382,-18927,22070,-19596,-12615,32158
132,8646,-2950,-19336,21944,-18937,-13110,32256
133,8712,-2424,-19668,21775,-18374,-13746,32289
134,8778,-1983,-20038,21668,-17846,-14388,32271
135,8844,-1463,-20422,21546,-17286,-14973,32340
136,8910,-988,-20744,21394,-16728,-15597,32299
137,8976,-477,-21093,21242,-16175,-16162,32404
138,9042,38,-21413,21075,-15608,-16786,32378
139,9108,517,-21710,20876,-14958,-17376,32290
140,9174,1071,-22031,20653,-14399,-17939,32317
141,9240,1599,-22331,20439,-13813,-18491,32305
142,9306,2093,-22611,20167,-13193,-19003,32242
143,9372,2619,-22899,19983,-12567,-19622,32179
144,9438,3168,-23174,19719,-11964,-20119,32144
145,9504,3621,-23523,19514,-11342,-20602,32013
146,9570,4218,-23742,19253,-10714,-21177,31945
147,9636,4733,-24006,18986,-10051,-21655,31794
148,9702,5288,-24210,18676,-9424,-22057,31611
149,9768,5795,-24437,18351,-8780,-22575,31391
150,9834,6347,-24672,18013,-8072,-23035,31257
151,9900,6910,-24922,17752,-7516,-23528,31030
152,9966,7413,-25131,17446,-6905,-24038,30819
153,10032,7903,-25348,17090,-6186,-24384,30632
154,10098,8469,-25481,16784,-5449,-24809,30431
155,10164,9032,-25705,16369,-4770,-25300,30113
156,10230,9588,-25801,15981,-4051,-25682,29922
157,10296,10057,-25964,15597,-3399,-26137,29630
158,10362,10617,-26092,15214,-2688,-26571,29377
159,10428,11127,-26279,14857,-2042,-27000,29070
160,10494,11631,-26389,14455,-1406,-27384,28748
161,10560,12208,-26480,14009,-726,-27766,28491
162,10626,12672,-26581,13545,-7,-27997,28154
163,10692,13204,-26652,13152,611,-28257,27787
164,10758,13716,-26665,12669,1224,-28664,27499
165,10824,14189,-26773,12208,1887,-28963,27142
166,10890,14709,-26876,11741,2530,-29258,26822
167,10956,15205,-26918,11314,3119,-29668,26434
168,11022,15633,-26972,10843,3818,-29848,25996
169,11088,16229,-26961,10443,4458,-30165,25566
170,11154,16668,-26907,9862,5149,-30442,25145
171,11220,17168,-26898,9351,5800,-30607,24780
172,11286,17651,-26830,8878,6471,-30986,24360
173,11352,18155,-26822,8304,7272,-31156,23918
174,11418,18607,-26794,7924,7935,-31394,23479
175,11484,19083,-26763,7288,8586,-31602,23056
