1,0,-20784,32434,-12033,-4841,30306,-25359
2,66,-21324,32323,-11303,-5718,30520,-24911
3,132,-21843,32188,-10673,-6365,30814,-24400
4,198,-22431,31995,-9961,-6915,31030,-24089
5,264,-22864,31922,-9381,-7500,31089,-23556
6,330,-23331,31757,-8752,-8248,31480,-23176
7,396,-23870,31577,-8031,-8997,31650,-22615
8,462,-24343,31466,-7370,-9601,31726,-22097
9,528,-24720,31049,-6691,-10255,31787,-21466
10,594,-25153,30802,-6012,-10868,31814,-21128
11,660,-25589,30616,-5345,-11558,31900,-20711
12,726,-25993,30370,-4758,-12272,32042,-20076
13,792,-26472,30113,-4031,-12824,32098,-19578
14,858,-26854,29856,-3327,-13567,32185,-18966
15,924,-27205,29483,-2675,-14018,32213,-18379
16,990,-27583,29283,-1968,-14413,32222,-17855
17,1056,-27768,28879,-1314,-15159,32460,-17221
18,1122,-28340,28539,-579,-15691,32439,-16631
19,1188,-28501,28236,141,-16366,32426,-16003
20,1254,-28915,27861,780,-16860,32538,-15306
21,1320,-29241,27452,1544,-17365,32438,-14764
22,1386,-29530,27124,2097,-17934,32385,-14143
23,1452,-29822,26634,2743,-18464,32294,-13557
24,1518,-30038,26255,3507,-19087,32194,-13013
25,1584,-30303,25855,4120,-19726,32096,-12345
26,1650,-30542,25350,4797,-20150,32045,-11786
27,1716,-30762,24998,5500,-20673,31866,-11303
28,1782,-30984,24549,6211,-21264,31850,-10647
29,1848,-31212,24089,6882,-21714,31854,-9960
30,1914,-31385,23647,7467,-22268,31542,-9327
31,1980,-31497,23117,8095,-22811,31305,-8603
32,2046,-31657,22569,8778,-23234,31098,-8044
33,2112,-31808,22117,9346,-23692,30785,-7417
34,2178,-31894,21572,9978,-24237,30637,-6762
35,2244,-31998,21050,10640,-24640,30408,-6130
36,2310,-32146,20562,11373,-25013,30260,-5418
37,2376,-32213,20057,11917,-25498,30012,-4716
38,2442,-32281,19467,12551,-25843,29707,-4063
39,2508,-32304,18922,13127,-26305,29466,-3334
40,2574,-32330,18334,13752,-26704,29203,-2631
41,2640,-32391,17735,14257,-27149,28887,-1985
42,2706,-32392,17233,14882,-27428,28625,-1266
43,2772,-32407,16579,15485,-27846,28355,-627
44,2838,-32392,16018,16058,-28231,28090,112
45,2904,-32357,15442,16625,-28468,27755,703
46,2970,-32292,14796,17172,-28674,27343,1436
47,3036,-32173,14160,17691,-28948,26877,2058
48,3102,-32125,13603,18231,-29234,26554,2759
49,3168,-32006,12989,18730,-29518,26126,3531
50,3234,-31980,12326,19271,-29753,25772,4166
51,3300,-31834,11715,19780,-29923,25372,4865
52,3366,-31709,11110,20279,-30203,24932,5604
53,3432,-31552,10423,20716,-30452,24469,6180
54,3498,-31387,9793,21206,-30802,24095,6804
55,3564,-31174,9164,21655,-30894,23454,7499
56,3630,-30952,8528,22105,-31162,23068,8084
57,3696,-30821,7869,22556,-31358,22570,8743
58,3762,-30593,7225,23087,-31553,22071,9390
59,3828,-30407,6583,23450,-31754,21497,10036
60,3894,-30148,5956,23896,-31815,21013,10637
61,3960,-29870,5288,24229,-31954,20544,11189
62,4026,-29580,4641,24602,-32019,19920,11824
63,4092,-29277,3953,24955,-32063,19370,12452
64,4158,-28953,3303,25349,-32163,18853,12983
65,4224,-28688,2646,25708,-32268,18233,13645
66,4290,-28385,2019,26053,-32301,17658,14217
67,4356,-28104,1380,26368,-32373,17090,14825
68,4422,-27752,681,26696,-32349,16602,15421
69,4488,-27333,57,26973,-32341,16011,16050
70,4554,-26988,-581,27213,-32218,15401,16589
71,4620,-26560,-1194,27508,-32175,14897,17235
72,4686,-26204,-1876,27764,-32120,14289,17832
73,4752,-25851,-2542,28031,-32108,13824,18443
74,4818,-25419,-3175,28288,-32038,13167,19055
75,4884,-25033,-3801,28498,-31990,12597,19536
76,4950,-24577,-4424,28647,-31891,11891,20118
77,5016,-24121,-5065,28844,-31746,11231,20594
78,5082,-23619,-5688,28978,-31690,10539,21126
79,5148,-23194,-6270,29170,-31626,10031,21663
80,5214,-22766,-6928,29351,-31516,9314,22087
81,5280,-22287,-7499,29498,-31371,8637,22606
82,5346,-21809,-8094,29646,-31274,7993,23090
83,5412,-21315,-8729,29747,-31046,7320,23500
84,5478,-20773,-9272,29806,-30799,6637,24007
85,5544,-20292,-9855,29875,-30429,5954,24386
86,5610,-19748,-10455,29917,-30190,5213,24882
87,5676,-19278,-11018,30043,-29941,4598,25304
88,5742,-18729,-11606,30063,-29780,3987,25715
89,5808,-18254,-12186,30092,-29457,3227,26109
